model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Fiesta,2017,21774,Manual,6610,Diesel,208,43.5,1.3
Fiesta,2018,17752,Manual,6430,Petrol,111,35.7,2.3
Focus,2015,25338,Automatic,39922,Petrol,288,57.7,3
Fiesta,2018,23585,Manual,13828,Hybrid,260,38.3,1.9
Fiesta,2017,15291,Automatic,42913,Diesel,144,45.7,1.7
Focus,2019,8974,Automatic,31497,Petrol,189,65.8,1.8
Focus,2018,12133,Manual,39256,Diesel,202,38.2,1.2
Focus,2019,22663,Manual,53889,Hybrid,296,50.3,2.8
Focus,2021,29754,Automatic,55677,Petrol,107,46.8,1.8
Fiesta,2022,11972,Automatic,36618,Diesel,252,30.7,1.8
Focus,2015,13295,Manual,49841,Petrol,190,61.7,2.3
Focus,2021,21913,Manual,46332,Petrol,273,32.8,1.9
Focus,2019,17105,Automatic,26526,Diesel,186,49,2.3
Focus,2019,16228,Automatic,54327,Petrol,257,52.4,1.1
Fiesta,2016,17903,Automatic,30158,Hybrid,274,55.1,2.6
Fiesta,2016,11020,Manual,25032,Petrol,276,57.5,2.9
Fiesta,2021,16987,Automatic,37846,Petrol,274,40.1,2.3
Focus,2020,28420,Manual,59474,Diesel,183,30.4,2.9
Fiesta,2021,29452,Manual,44936,Diesel,181,58.9,1.3
Fiesta,2016,20880,Manual,29794,Diesel,245,51.4,2
Focus,2019,13233,Automatic,5448,Petrol,293,63.4,2.2
Fiesta,2017,17516,Automatic,50331,Diesel,167,62.9,2.2
Fiesta,2021,22559,Manual,28861,Petrol,260,63.7,1.8
Focus,2019,24701,Manual,28141,Hybrid,226,49.4,1.7
Fiesta,2017,10396,Automatic,9074,Hybrid,263,43.3,1.3
Focus,2017,26546,Automatic,6406,Petrol,181,61.7,1.8
Fiesta,2016,27129,Manual,31823,Petrol,246,48.1,1.3
Fiesta,2021,9591,Automatic,57743,Hybrid,255,37.3,2.5
Focus,2018,19303,Automatic,23291,Hybrid,267,64.2,1.4
Fiesta,2015,14183,Automatic,41568,Petrol,183,65.3,1.1
Focus,2016,28314,Automatic,32003,Hybrid,212,48.7,2.1
Focus,2016,9312,Manual,46851,Hybrid,175,33,2.2
Focus,2018,28695,Automatic,34406,Petrol,221,45.5,2.7
Focus,2015,15314,Automatic,54823,Diesel,242,62.1,2.2
Fiesta,2019,26767,Manual,23312,Diesel,140,66.1,1.7
Fiesta,2020,27623,Manual,43108,Hybrid,266,38.1,2.6
Focus,2021,10139,Manual,1382,Petrol,101,32.7,2.1
Fiesta,2020,22688,Automatic,34171,Hybrid,290,65.1,1.2
Fiesta,2019,26088,Automatic,41779,Hybrid,128,45.6,2.1
Fiesta,2022,14924,Manual,3292,Petrol,204,51.7,2.8
Fiesta,2016,8362,Automatic,41779,Diesel,293,68.7,1.8
Focus,2015,26988,Automatic,33187,Hybrid,150,32.7,1.6
Fiesta,2016,21481,Manual,12411,Hybrid,174,55.9,1.3
Focus,2017,28670,Automatic,37285,Diesel,109,33,1.3
Fiesta,2016,11738,Automatic,52454,Petrol,241,45,1.9
Fiesta,2016,10469,Manual,57009,Petrol,150,62.2,2.2
Focus,2019,29179,Manual,15422,Petrol,217,47.3,1.2
Focus,2019,24106,Manual,42468,Petrol,300,69.9,2.9
Focus,2019,24940,Automatic,32371,Petrol,220,52.4,2.5
Focus,2020,17017,Manual,57022,Hybrid,138,42.8,2.2
Fiesta,2017,10808,Automatic,5693,Hybrid,127,38.8,2.7
Focus,2022,24370,Automatic,33535,Diesel,102,44,1.2
Focus,2022,29534,Automatic,51196,Diesel,183,44.9,2
Fiesta,2019,22870,Automatic,14818,Diesel,297,32.7,2.3
Fiesta,2015,20713,Manual,31238,Diesel,254,44.8,2.7
Focus,2020,15561,Manual,30874,Petrol,216,48.6,2.6
Focus,2018,10719,Manual,26715,Petrol,101,58.9,1.6
Focus,2015,19700,Automatic,27605,Diesel,192,56.3,2.9
Focus,2021,11741,Automatic,34317,Hybrid,265,58.4,1.2
Focus,2021,17766,Manual,31174,Petrol,230,30.3,2.8
Focus,2015,11998,Manual,9956,Petrol,243,38.7,2.9
Focus,2019,26787,Manual,38908,Hybrid,193,56.5,1.4
Fiesta,2018,24077,Manual,10837,Hybrid,139,49.4,2.4
Focus,2018,8294,Manual,3716,Hybrid,101,30.2,1.1
Focus,2020,18177,Manual,4481,Hybrid,180,62.2,1.8
Fiesta,2018,29727,Automatic,24282,Hybrid,268,60.9,2
Fiesta,2021,17882,Automatic,6548,Diesel,111,51.9,2.2
Focus,2017,9136,Manual,51445,Hybrid,262,32.7,2.9
Focus,2019,10064,Manual,37605,Petrol,164,60.7,2.3
Focus,2018,15009,Automatic,7758,Hybrid,154,53.3,2
Focus,2020,20987,Manual,43668,Diesel,144,61.3,2.6
Fiesta,2021,12543,Automatic,23177,Petrol,200,60.1,2.9
Focus,2017,9007,Manual,24022,Hybrid,161,62.1,1
Focus,2016,13445,Automatic,40761,Hybrid,148,50.7,3
Fiesta,2016,18706,Manual,55159,Hybrid,226,35.6,1.2
Fiesta,2017,22749,Automatic,5542,Petrol,252,56.8,2.6
Focus,2021,19718,Automatic,25476,Hybrid,122,54.8,1.6
Focus,2020,29736,Manual,30784,Diesel,251,59.7,1.3
Fiesta,2017,17439,Automatic,22740,Diesel,137,36.8,1.9
Focus,2019,21281,Automatic,59353,Hybrid,127,37.8,2.3
Fiesta,2019,9435,Manual,24817,Petrol,120,65.6,1.8
Fiesta,2016,8571,Automatic,47596,Petrol,281,60,1.1
Focus,2018,10382,Automatic,56532,Diesel,206,66.3,2.2
Fiesta,2020,13084,Manual,16052,Diesel,245,60.3,2.8
Fiesta,2016,24661,Manual,35153,Petrol,263,53.9,1.8
Fiesta,2018,21507,Manual,47076,Petrol,198,56.2,1.4
Focus,2018,15059,Manual,53420,Diesel,272,65.6,1.9
Focus,2022,26271,Automatic,671,Hybrid,218,53.2,1.1
Fiesta,2019,20771,Automatic,163,Hybrid,172,55.3,2.6
Focus,2021,25649,Manual,41424,Petrol,280,36.3,2.7
Fiesta,2015,15491,Manual,44002,Hybrid,221,49,2.2
Fiesta,2021,22527,Manual,53744,Petrol,129,58.7,1.7
Focus,2015,25424,Automatic,4795,Diesel,287,40.8,2.6
Focus,2017,22859,Manual,10634,Diesel,207,38.1,2.1
Focus,2019,16073,Automatic,4798,Petrol,197,42.6,2.7
Fiesta,2018,17077,Automatic,22420,Diesel,131,39.7,2.3
Fiesta,2020,27136,Manual,51507,Hybrid,294,38.6,2.6
Fiesta,2015,28953,Manual,55039,Diesel,294,47,2.2
Focus,2021,19383,Automatic,29300,Diesel,255,66.3,1.8
Focus,2018,24378,Automatic,24345,Hybrid,271,50.3,2.9
Fiesta,2015,10353,Automatic,10749,Hybrid,178,37.5,2.1
Focus,2015,12799,Automatic,38595,Petrol,140,33.1,2.2
Focus,2022,25070,Automatic,25121,Diesel,162,57.8,1.4
Focus,2015,29195,Automatic,37487,Petrol,122,45.3,2.3
Focus,2020,19939,Manual,28411,Petrol,203,62.9,2.1
Fiesta,2019,29730,Manual,33361,Hybrid,174,56.4,1.4
Focus,2020,29427,Automatic,21223,Petrol,147,61.8,1.1
Fiesta,2016,10428,Manual,7394,Petrol,259,40.9,2.2
Fiesta,2018,29510,Manual,14056,Diesel,156,57.7,2.5
Fiesta,2019,19296,Automatic,28380,Petrol,217,40.6,2
Focus,2022,15813,Manual,26035,Petrol,199,67.6,1.5
Focus,2019,22414,Manual,30620,Petrol,223,55.5,2.3
Fiesta,2019,19801,Manual,19877,Diesel,260,43,1.2
Focus,2021,19745,Manual,59945,Hybrid,251,40.8,1.9
Fiesta,2019,21025,Automatic,55316,Diesel,266,37.6,1.3
Focus,2022,11356,Automatic,43404,Hybrid,133,57.8,1.4
Fiesta,2020,22288,Automatic,51824,Hybrid,283,38.7,1.4
Focus,2019,14540,Automatic,53352,Hybrid,255,53.8,1.8
Focus,2017,24422,Manual,30911,Diesel,264,40.6,1.1
Focus,2018,11342,Manual,32784,Diesel,106,56.5,1.8
Focus,2019,17078,Automatic,3191,Hybrid,295,62.6,2
Focus,2018,10844,Automatic,33160,Diesel,264,61.1,2
Fiesta,2017,18396,Manual,25000,Petrol,155,60.4,1.8
Fiesta,2017,25482,Automatic,39040,Hybrid,164,37.5,2.7
Focus,2018,26207,Manual,49723,Hybrid,292,33.5,1.3
Fiesta,2015,21998,Manual,3631,Hybrid,146,58,2
Focus,2016,21261,Manual,6172,Hybrid,247,44.7,1.1
Fiesta,2021,27539,Automatic,42080,Petrol,118,47.3,1.1
Fiesta,2015,11093,Manual,23561,Diesel,256,31.2,2.1
Focus,2015,19722,Manual,24817,Petrol,287,40.4,2.1
Focus,2020,28162,Manual,20281,Diesel,245,31.3,2.8
Focus,2021,27280,Manual,28671,Petrol,262,65.2,2.1
Fiesta,2021,19645,Manual,57275,Hybrid,270,39.7,2.9
Fiesta,2015,23083,Manual,51431,Petrol,225,52.3,1.1
Fiesta,2019,8988,Automatic,25364,Petrol,238,31.6,1.2
Fiesta,2020,28500,Manual,56603,Hybrid,148,56.7,1.1
Focus,2020,14446,Manual,41674,Diesel,212,42.9,1.4
Focus,2017,24335,Manual,27425,Diesel,137,65.9,2.1
Fiesta,2022,28563,Automatic,49927,Hybrid,163,65.5,2.3
Fiesta,2021,24133,Automatic,28602,Hybrid,168,43,1.1
Fiesta,2015,9682,Manual,23253,Hybrid,235,66,2.9
Fiesta,2017,13626,Manual,51399,Hybrid,261,69.8,2.7
Focus,2018,15424,Manual,23472,Hybrid,275,63,1.6
Focus,2016,20857,Manual,49230,Petrol,215,63.8,1.2
Focus,2022,20155,Automatic,8080,Diesel,283,40,1.3
Focus,2022,25317,Manual,7099,Hybrid,164,53.1,1.3
Fiesta,2022,27982,Automatic,53078,Diesel,130,32.7,1.2
Focus,2020,19425,Automatic,25431,Hybrid,231,33.8,2
Fiesta,2018,9980,Manual,56492,Petrol,212,70,1.5
Focus,2022,23522,Automatic,31186,Petrol,208,43.1,1.7
Focus,2018,27440,Manual,47684,Petrol,277,59.9,3
Focus,2019,16984,Manual,30111,Petrol,168,62.3,2.4
Fiesta,2022,25175,Automatic,39851,Diesel,257,64.3,2.9
Focus,2016,23883,Automatic,22614,Petrol,219,69.9,1.3
Fiesta,2018,13390,Automatic,26724,Diesel,187,39.7,1.8
Focus,2018,26639,Manual,41991,Hybrid,286,31.6,2.1
Focus,2016,27994,Manual,4940,Hybrid,166,46.4,1.2
Fiesta,2022,9607,Automatic,52423,Petrol,174,35.2,1
Focus,2016,29563,Automatic,28758,Diesel,144,30.9,2.3
Fiesta,2018,14573,Manual,36224,Hybrid,103,44.4,2.3
Focus,2016,25368,Automatic,7788,Hybrid,253,61.3,1.8
Focus,2018,13776,Automatic,28082,Hybrid,254,52.6,2
Fiesta,2018,11676,Automatic,57751,Hybrid,273,42.5,1.8
Focus,2019,11380,Automatic,24034,Petrol,206,56.2,1
Focus,2015,16711,Automatic,35479,Petrol,291,39.3,1.7
Fiesta,2018,16782,Manual,11280,Petrol,150,30.6,1.4
Fiesta,2022,25434,Automatic,18052,Hybrid,149,60.6,1.2
Focus,2017,21997,Automatic,16531,Petrol,105,54.9,2.9
